location,job_title,publisher_name,publisher_link,min_salary,max_salary,median_salary,salary_period,salary_currency
United States,IT Project Manager,Indeed,https://Indeed.com/IT Project Manager,92239.0,141788.0,112323.0,YEAR,USD
United States,IT Project Manager,Payscale,https://Payscale.com/IT Project Manager,92639.0,142088.0,112523.0,YEAR,USD
United States,Business Development Executive,Glassdoor,https://Glassdoor.com/Business Development Executive,67666.0,162809.0,99997.0,YEAR,USD
United States,Business Development Executive,Indeed,https://Indeed.com/Business Development Executive,68066.0,163109.0,100197.0,YEAR,USD
United States,Business Development Executive,Payscale,https://Payscale.com/Business Development Executive,68466.0,163409.0,100397.0,YEAR,USD
United States,Senior Data Engineer,Glassdoor,https://Glassdoor.com/Senior Data Engineer,122775.0,175002.0,142433.0,YEAR,USD
United States,Senior Data Engineer,Indeed,https://Indeed.com/Senior Data Engineer,123175.0,175302.0,142633.0,YEAR,USD
United States,Senior Data Engineer,Payscale,https://Payscale.com/Senior Data Engineer,123575.0,175602.0,142833.0,YEAR,USD
United States,Machine Learning Engineer,Glassdoor,https://Glassdoor.com/Machine Learning Engineer,124946.0,199998.0,154835.0,YEAR,USD
United States,Machine Learning Engineer,Indeed,https://Indeed.com/Machine Learning Engineer,125346.0,200298.0,155035.0,YEAR,USD
United States,Machine Learning Engineer,Payscale,https://Payscale.com/Machine Learning Engineer,125746.0,200598.0,155235.0,YEAR,USD
United States,Account Manager,Glassdoor,https://Glassdoor.com/Account Manager,45000.0,100000.0,60000.0,YEAR,USD
United States,Account Manager,Indeed,https://Indeed.com/Account Manager,45400.0,100300.0,60200.0,YEAR,USD
United States,Account Manager,Payscale,https://Payscale.com/Account Manager,45800.0,100600.0,60400.0,YEAR,USD
United States,Product Marketing Manager,Glassdoor,https://Glassdoor.com/Product Marketing Manager,100000.0,162185.0,125000.0,YEAR,USD
United States,Product Marketing Manager,Indeed,https://Indeed.com/Product Marketing Manager,100400.0,162485.0,125200.0,YEAR,USD
United States,Product Marketing Manager,Payscale,https://Payscale.com/Product Marketing Manager,100800.0,162785.0,125400.0,YEAR,USD
United States,QA Engineer,Glassdoor,https://Glassdoor.com/QA Engineer,87495.0,130252.0,102375.0,YEAR,USD
United States,QA Engineer,Indeed,https://Indeed.com/QA Engineer,87895.0,130552.0,102575.0,YEAR,USD
United States,QA Engineer,Payscale,https://Payscale.com/QA Engineer,88295.0,130852.0,102775.0,YEAR,USD
United States,Project Engineer,Glassdoor,https://Glassdoor.com/Project Engineer,75000.0,122500.0,92000.0,YEAR,USD
United States,Project Engineer,Indeed,https://Indeed.com/Project Engineer,75400.0,122800.0,92200.0,YEAR,USD
United States,Project Engineer,Payscale,https://Payscale.com/Project Engineer,75800.0,123100.0,92400.0,YEAR,USD
United States,Big Data Engineer,Glassdoor,https://Glassdoor.com/Big Data Engineer,115470.0,175000.0,137442.0,YEAR,USD
United States,Big Data Engineer,Indeed,https://Indeed.com/Big Data Engineer,115870.0,175300.0,137642.0,YEAR,USD
United States,Big Data Engineer,Payscale,https://Payscale.com/Big Data Engineer,116270.0,175600.0,137842.0,YEAR,USD
United States,PROJECT MANAGER,Glassdoor,https://Glassdoor.com/PROJECT MANAGER,72499.0,134999.0,95251.0,YEAR,USD
United States,PROJECT MANAGER,Indeed,https://Indeed.com/PROJECT MANAGER,72899.0,135299.0,95451.0,YEAR,USD
United States,PROJECT MANAGER,Payscale,https://Payscale.com/PROJECT MANAGER,73299.0,135599.0,95651.0,YEAR,USD
United States,Program Manager,Glassdoor,https://Glassdoor.com/Program Manager,60002.0,149649.0,92394.0,YEAR,USD
United States,Program Manager,Indeed,https://Indeed.com/Program Manager,60402.0,149949.0,92594.0,YEAR,USD
United States,Program Manager,Payscale,https://Payscale.com/Program Manager,60802.0,150249.0,92794.0,YEAR,USD
United States,Senior Data Analyst,Glassdoor,https://Glassdoor.com/Senior Data Analyst,87757.0,139997.0,106735.0,YEAR,USD
United States,Senior Data Analyst,Indeed,https://Indeed.com/Senior Data Analyst,88157.0,140297.0,106935.0,YEAR,USD
United States,Senior Data Analyst,Payscale,https://Payscale.com/Senior Data Analyst,88557.0,140597.0,107135.0,YEAR,USD
United States,Financial Analyst,Glassdoor,https://Glassdoor.com/Financial Analyst,62512.0,104520.0,78446.0,YEAR,USD
United States,Financial Analyst,Indeed,https://Indeed.com/Financial Analyst,62912.0,104820.0,78646.0,YEAR,USD
United States,Financial Analyst,Payscale,https://Payscale.com/Financial Analyst,63312.0,105120.0,78846.0,YEAR,USD
United States,Database Administrator,Glassdoor,https://Glassdoor.com/Database Administrator,80000.0,136189.0,101787.0,YEAR,USD
United States,Database Administrator,Indeed,https://Indeed.com/Database Administrator,80400.0,136489.0,101987.0,YEAR,USD
United States,Database Administrator,Payscale,https://Payscale.com/Database Administrator,80800.0,136789.0,102187.0,YEAR,USD
United States,Technical Project Manager,Glassdoor,https://Glassdoor.com/Technical Project Manager,97500.0,156000.0,117685.0,YEAR,USD
United States,Technical Project Manager,Indeed,https://Indeed.com/Technical Project Manager,97900.0,156300.0,117885.0,YEAR,USD
United States,Technical Project Manager,Payscale,https://Payscale.com/Technical Project Manager,98300.0,156600.0,118085.0,YEAR,USD
United States,Business Intelligence Analyst,Glassdoor,https://Glassdoor.com/Business Intelligence Analyst,78439.0,125588.0,95009.0,YEAR,USD
United States,Business Intelligence Analyst,Indeed,https://Indeed.com/Business Intelligence Analyst,78839.0,125888.0,95209.0,YEAR,USD
United States,Business Intelligence Analyst,Payscale,https://Payscale.com/Business Intelligence Analyst,79239.0,126188.0,95409.0,YEAR,USD
United States,Software Development Engineer,Glassdoor,https://Glassdoor.com/Software Development Engineer,102518.0,169050.0,125627.0,YEAR,USD
United States,Software Development Engineer,Indeed,https://Indeed.com/Software Development Engineer,102918.0,169350.0,125827.0,YEAR,USD
United States,Software Development Engineer,Payscale,https://Payscale.com/Software Development Engineer,103318.0,169650.0,126027.0,YEAR,USD
United States,Senior DevOps Engineer,Glassdoor,https://Glassdoor.com/Senior DevOps Engineer,126015.0,175000.0,142652.0,YEAR,USD
United States,Senior DevOps Engineer,Indeed,https://Indeed.com/Senior DevOps Engineer,126415.0,175300.0,142852.0,YEAR,USD
United States,Senior DevOps Engineer,Payscale,https://Payscale.com/Senior DevOps Engineer,126815.0,175600.0,143052.0,YEAR,USD
United States,Projectmanager,Glassdoor,https://Glassdoor.com/Projectmanager,60594.0,79099.0,69846.0,YEAR,USD
United States,Projectmanager,Indeed,https://Indeed.com/Projectmanager,60594.0,79099.0,69846.0,YEAR,USD
United States,Projectmanager,Payscale,https://Payscale.com/Projectmanager,60594.0,79099.0,69846.0,YEAR,USD
United States,IT Business Analyst,Glassdoor,https://Glassdoor.com/IT Business Analyst,75196.0,122529.0,93658.0,YEAR,USD
United States,IT Business Analyst,Indeed,https://Indeed.com/IT Business Analyst,75596.0,122829.0,93858.0,YEAR,USD
United States,IT Business Analyst,Payscale,https://Payscale.com/IT Business Analyst,75996.0,123129.0,94058.0,YEAR,USD
United States,Marketing Manager,Glassdoor,https://Glassdoor.com/Marketing Manager,73551.0,127024.0,84952.0,YEAR,USD
United States,Marketing Manager,Indeed,https://Indeed.com/Marketing Manager,73951.0,127324.0,85152.0,YEAR,USD
United States,Marketing Manager,Payscale,https://Payscale.com/Marketing Manager,74351.0,127624.0,85352.0,YEAR,USD
United States,Sales Engineer,Glassdoor,https://Glassdoor.com/Sales Engineer,75000.0,146250.0,96077.0,YEAR,USD
United States,Sales Engineer,Indeed,https://Indeed.com/Sales Engineer,75400.0,146550.0,96277.0,YEAR,USD
United States,Sales Engineer,Payscale,https://Payscale.com/Sales Engineer,75800.0,146850.0,96477.0,YEAR,USD
United States,Digital Project Manager,Glassdoor,https://Glassdoor.com/Digital Project Manager,73122.0,137297.0,95804.0,YEAR,USD
United States,Digital Project Manager,Indeed,https://Indeed.com/Digital Project Manager,73522.0,137597.0,96004.0,YEAR,USD
United States,Digital Project Manager,Payscale,https://Payscale.com/Digital Project Manager,73922.0,137897.0,96204.0,YEAR,USD
United States,Product Specialist,Glassdoor,https://Glassdoor.com/Product Specialist,37056.0,100000.0,59360.0,YEAR,USD
United States,Product Specialist,Indeed,https://Indeed.com/Product Specialist,37456.0,100300.0,59560.0,YEAR,USD
United States,Product Specialist,Payscale,https://Payscale.com/Product Specialist,37856.0,100600.0,59760.0,YEAR,USD
United States,Technical Support Engineer,Glassdoor,https://Glassdoor.com/Technical Support Engineer,60246.0,117231.0,80000.0,YEAR,USD
United States,Technical Support Engineer,Indeed,https://Indeed.com/Technical Support Engineer,60646.0,117531.0,80200.0,YEAR,USD
United States,Technical Support Engineer,Payscale,https://Payscale.com/Technical Support Engineer,61046.0,117831.0,80400.0,YEAR,USD
United States,Operations Manager,Glassdoor,https://Glassdoor.com/Operations Manager,55780.0,128750.0,79715.0,YEAR,USD
United States,Operations Manager,Indeed,https://Indeed.com/Operations Manager,56180.0,129050.0,79915.0,YEAR,USD
United States,Operations Manager,Payscale,https://Payscale.com/Operations Manager,56580.0,129350.0,80115.0,YEAR,USD
United States,Senior Software Developer,Glassdoor,https://Glassdoor.com/Senior Software Developer,107052.0,165000.0,125101.0,YEAR,USD
United States,Senior Software Developer,Indeed,https://Indeed.com/Senior Software Developer,107452.0,165300.0,125301.0,YEAR,USD
United States,Senior Software Developer,Payscale,https://Payscale.com/Senior Software Developer,107852.0,165600.0,125501.0,YEAR,USD
United States,Research Associate,Glassdoor,https://Glassdoor.com/Research Associate,47459.0,92500.0,58502.0,YEAR,USD
United States,Research Associate,Indeed,https://Indeed.com/Research Associate,47859.0,92800.0,58702.0,YEAR,USD
United States,Research Associate,Payscale,https://Payscale.com/Research Associate,48259.0,93100.0,58902.0,YEAR,USD
United States,Project Coordinator,Glassdoor,https://Glassdoor.com/Project Coordinator,42052.0,75170.0,52469.0,YEAR,USD
United States,Project Coordinator,Indeed,https://Indeed.com/Project Coordinator,42452.0,75470.0,52669.0,YEAR,USD
United States,Project Coordinator,Payscale,https://Payscale.com/Project Coordinator,42852.0,75770.0,52869.0,YEAR,USD
United States,Java Software Engineer,Glassdoor,https://Glassdoor.com/Java Software Engineer,100105.0,160000.0,124551.0,YEAR,USD
United States,Java Software Engineer,Indeed,https://Indeed.com/Java Software Engineer,100505.0,160300.0,124751.0,YEAR,USD
United States,Java Software Engineer,Payscale,https://Payscale.com/Java Software Engineer,100905.0,160600.0,124951.0,YEAR,USD
United States,System Engineer,Glassdoor,https://Glassdoor.com/System Engineer,89519.0,147956.0,110027.0,YEAR,USD
United States,System Engineer,Indeed,https://Indeed.com/System Engineer,89919.0,148256.0,110227.0,YEAR,USD
United States,System Engineer,Payscale,https://Payscale.com/System Engineer,90319.0,148556.0,110427.0,YEAR,USD
United States,Business Systems Analyst,Glassdoor,https://Glassdoor.com/Business Systems Analyst,75398.0,125500.0,93799.0,YEAR,USD
United States,Business Systems Analyst,Indeed,https://Indeed.com/Business Systems Analyst,75798.0,125800.0,93999.0,YEAR,USD
United States,Business Systems Analyst,Payscale,https://Payscale.com/Business Systems Analyst,76198.0,126100.0,94199.0,YEAR,USD
United States,Customer Success Manager,Glassdoor,https://Glassdoor.com/Customer Success Manager,64997.0,130000.0,85062.0,YEAR,USD
United States,Customer Success Manager,Indeed,https://Indeed.com/Customer Success Manager,65397.0,130300.0,85262.0,YEAR,USD
United States,Customer Success Manager,Payscale,https://Payscale.com/Customer Success Manager,65797.0,130600.0,85462.0,YEAR,USD
United States,Engineering Manager,Glassdoor,https://Glassdoor.com/Engineering Manager,110000.0,181671.0,136785.0,YEAR,USD
United States,Engineering Manager,Indeed,https://Indeed.com/Engineering Manager,110400.0,181971.0,136985.0,YEAR,USD
United States,Engineering Manager,Payscale,https://Payscale.com/Engineering Manager,110800.0,182271.0,137185.0,YEAR,USD
United States,Junior Software Engineer,Glassdoor,https://Glassdoor.com/Junior Software Engineer,72282.0,124818.0,89973.0,YEAR,USD
United States,Junior Software Engineer,Indeed,https://Indeed.com/Junior Software Engineer,72682.0,125118.0,90173.0,YEAR,USD
United States,Junior Software Engineer,Payscale,https://Payscale.com/Junior Software Engineer,73082.0,125418.0,90373.0,YEAR,USD
United States,Support Engineer,Glassdoor,https://Glassdoor.com/Support Engineer,59949.0,121862.0,79750.0,YEAR,USD
United States,Support Engineer,Indeed,https://Indeed.com/Support Engineer,60349.0,122162.0,79950.0,YEAR,USD
United States,Support Engineer,Payscale,https://Payscale.com/Support Engineer,60749.0,122462.0,80150.0,YEAR,USD
United States,Sales Manager,Glassdoor,https://Glassdoor.com/Sales Manager,50000.0,129985.0,75000.0,YEAR,USD
United States,Sales Manager,Indeed,https://Indeed.com/Sales Manager,50400.0,130285.0,75200.0,YEAR,USD
United States,Sales Manager,Payscale,https://Payscale.com/Sales Manager,50800.0,130585.0,75400.0,YEAR,USD
United States,Cloud Engineer,Glassdoor,https://Glassdoor.com/Cloud Engineer,110648.0,165899.0,130859.0,YEAR,USD
United States,Cloud Engineer,Indeed,https://Indeed.com/Cloud Engineer,111048.0,166199.0,131059.0,YEAR,USD
United States,Cloud Engineer,Payscale,https://Payscale.com/Cloud Engineer,111448.0,166499.0,131259.0,YEAR,USD
United States,.Net Developer,Glassdoor,https://Glassdoor.com/.Net Developer,92604.0,136500.0,109864.0,YEAR,USD
United States,.Net Developer,Indeed,https://Indeed.com/.Net Developer,93004.0,136800.0,110064.0,YEAR,USD
United States,.Net Developer,Payscale,https://Payscale.com/.Net Developer,93404.0,137100.0,110264.0,YEAR,USD
United States,Key Account Manager,Glassdoor,https://Glassdoor.com/Key Account Manager,76145.0,139601.0,98385.0,YEAR,USD
United States,Key Account Manager,Indeed,https://Indeed.com/Key Account Manager,76545.0,139901.0,98585.0,YEAR,USD
United States,Key Account Manager,Payscale,https://Payscale.com/Key Account Manager,76945.0,140201.0,98785.0,YEAR,USD
United States,Software Test Engineer,Glassdoor,https://Glassdoor.com/Software Test Engineer,89999.0,148343.0,110037.0,YEAR,USD
United States,Software Test Engineer,Indeed,https://Indeed.com/Software Test Engineer,90399.0,148643.0,110237.0,YEAR,USD
United States,Software Test Engineer,Payscale,https://Payscale.com/Software Test Engineer,90799.0,148943.0,110437.0,YEAR,USD
United States,Site Reliability Engineer,Glassdoor,https://Glassdoor.com/Site Reliability Engineer,112500.0,173219.0,135000.0,YEAR,USD
United States,Site Reliability Engineer,Indeed,https://Indeed.com/Site Reliability Engineer,112900.0,173519.0,135200.0,YEAR,USD
United States,Site Reliability Engineer,Payscale,https://Payscale.com/Site Reliability Engineer,113300.0,173819.0,135400.0,YEAR,USD
United States,Technical Product Manager,Glassdoor,https://Glassdoor.com/Technical Product Manager,121124.0,180974.0,144310.0,YEAR,USD
United States,Technical Product Manager,Indeed,https://Indeed.com/Technical Product Manager,121524.0,181274.0,144510.0,YEAR,USD
United States,Technical Product Manager,Payscale,https://Payscale.com/Technical Product Manager,121924.0,181574.0,144710.0,YEAR,USD
United States,Database Engineer,Glassdoor,https://Glassdoor.com/Database Engineer,108092.0,174299.0,129801.0,YEAR,USD
United States,Database Engineer,Indeed,https://Indeed.com/Database Engineer,108492.0,174599.0,130001.0,YEAR,USD
United States,Database Engineer,Payscale,https://Payscale.com/Database Engineer,108892.0,174899.0,130201.0,YEAR,USD
United States,Senior Consultant,Glassdoor,https://Glassdoor.com/Senior Consultant,85151.0,148519.0,110000.0,YEAR,USD
United States,Senior Consultant,Indeed,https://Indeed.com/Senior Consultant,85551.0,148819.0,110200.0,YEAR,USD
United States,Senior Consultant,Payscale,https://Payscale.com/Senior Consultant,85951.0,149119.0,110400.0,YEAR,USD
United States,Business Analyst (m/w/d),Glassdoor,https://Glassdoor.com/Business Analyst (m/w/d),71706.0,122269.0,90000.0,YEAR,USD
United States,Business Analyst (m/w/d),Indeed,https://Indeed.com/Business Analyst (m/w/d),72106.0,122569.0,90200.0,YEAR,USD
United States,Business Analyst (m/w/d),Payscale,https://Payscale.com/Business Analyst (m/w/d),72506.0,122869.0,90400.0,YEAR,USD
United States,Principal Software Engineer,Glassdoor,https://Glassdoor.com/Principal Software Engineer,132639.0,200000.0,159968.0,YEAR,USD
United States,Principal Software Engineer,Indeed,https://Indeed.com/Principal Software Engineer,133039.0,200300.0,160168.0,YEAR,USD
United States,Principal Software Engineer,Payscale,https://Payscale.com/Principal Software Engineer,133439.0,200600.0,160368.0,YEAR,USD
United States,Test Engineer,Glassdoor,https://Glassdoor.com/Test Engineer,82442.0,139995.0,102502.0,YEAR,USD
United States,Test Engineer,Indeed,https://Indeed.com/Test Engineer,82842.0,140295.0,102702.0,YEAR,USD
United States,Test Engineer,Payscale,https://Payscale.com/Test Engineer,83242.0,140595.0,102902.0,YEAR,USD
United States,Automation Engineer,Glassdoor,https://Glassdoor.com/Automation Engineer,87500.0,137878.0,104887.0,YEAR,USD
United States,Automation Engineer,Indeed,https://Indeed.com/Automation Engineer,87900.0,138178.0,105087.0,YEAR,USD
United States,Automation Engineer,Payscale,https://Payscale.com/Automation Engineer,88300.0,138478.0,105287.0,YEAR,USD
United States,Backend Engineer,Glassdoor,https://Glassdoor.com/Backend Engineer,120000.0,180202.0,145002.0,YEAR,USD
United States,Backend Engineer,Indeed,https://Indeed.com/Backend Engineer,120400.0,180502.0,145202.0,YEAR,USD
United States,Backend Engineer,Payscale,https://Payscale.com/Backend Engineer,120800.0,180802.0,145402.0,YEAR,USD
United States,Network Engineer,Glassdoor,https://Glassdoor.com/Network Engineer,85000.0,142422.0,106745.0,YEAR,USD
United States,Network Engineer,Indeed,https://Indeed.com/Network Engineer,85400.0,142722.0,106945.0,YEAR,USD
United States,Network Engineer,Payscale,https://Payscale.com/Network Engineer,85800.0,143022.0,107145.0,YEAR,USD
United States,Statistician,Glassdoor,https://Glassdoor.com/Statistician,71071.0,144705.0,100738.0,YEAR,USD
United States,Statistician,Indeed,https://Indeed.com/Statistician,71471.0,145005.0,100938.0,YEAR,USD
United States,Statistician,Payscale,https://Payscale.com/Statistician,71871.0,145305.0,101138.0,YEAR,USD
United States,Embedded Software Engineer,Glassdoor,https://Glassdoor.com/Embedded Software Engineer,100000.0,150000.0,117490.0,YEAR,USD
United States,Embedded Software Engineer,Indeed,https://Indeed.com/Embedded Software Engineer,100400.0,150300.0,117690.0,YEAR,USD
United States,Embedded Software Engineer,Payscale,https://Payscale.com/Embedded Software Engineer,100800.0,150600.0,117890.0,YEAR,USD
United States,Data Architect,Glassdoor,https://Glassdoor.com/Data Architect,122375.0,181765.0,145038.0,YEAR,USD
United States,Data Architect,Indeed,https://Indeed.com/Data Architect,122775.0,182065.0,145238.0,YEAR,USD
United States,Data Architect,Payscale,https://Payscale.com/Data Architect,123175.0,182365.0,145438.0,YEAR,USD
United States,Assistant Project Manager,Glassdoor,https://Glassdoor.com/Assistant Project Manager,48934.0,90000.0,65000.0,YEAR,USD
United States,Assistant Project Manager,Indeed,https://Indeed.com/Assistant Project Manager,49334.0,90300.0,65200.0,YEAR,USD
United States,Assistant Project Manager,Payscale,https://Payscale.com/Assistant Project Manager,49734.0,90600.0,65400.0,YEAR,USD
United States,Junior Project Manager,Glassdoor,https://Glassdoor.com/Junior Project Manager,53239.0,97500.0,69895.0,YEAR,USD
United States,Junior Project Manager,Indeed,https://Indeed.com/Junior Project Manager,53639.0,97800.0,70095.0,YEAR,USD
United States,Junior Project Manager,Payscale,https://Payscale.com/Junior Project Manager,54039.0,98100.0,70295.0,YEAR,USD
United States,Senior Developer,Glassdoor,https://Glassdoor.com/Senior Developer,105113.0,159400.0,124879.0,YEAR,USD
United States,Senior Developer,Indeed,https://Indeed.com/Senior Developer,105513.0,159700.0,125079.0,YEAR,USD
United States,Senior Developer,Payscale,https://Payscale.com/Senior Developer,105913.0,160000.0,125279.0,YEAR,USD
United States,Systems Engineer,Glassdoor,https://Glassdoor.com/Systems Engineer,88889.0,156776.0,112469.0,YEAR,USD
United States,Systems Engineer,Indeed,https://Indeed.com/Systems Engineer,89289.0,157076.0,112669.0,YEAR,USD
United States,Systems Engineer,Payscale,https://Payscale.com/Systems Engineer,89689.0,157376.0,112869.0,YEAR,USD
United States,Senior Backend Engineer,Glassdoor,https://Glassdoor.com/Senior Backend Engineer,136442.0,192129.0,159978.0,YEAR,USD
United States,Senior Backend Engineer,Indeed,https://Indeed.com/Senior Backend Engineer,136842.0,192429.0,160178.0,YEAR,USD
United States,Senior Backend Engineer,Payscale,https://Payscale.com/Senior Backend Engineer,137242.0,192729.0,160378.0,YEAR,USD
United States,Research Scientist,Glassdoor,https://Glassdoor.com/Research Scientist,68070.0,147898.0,90761.0,YEAR,USD
United States,Research Scientist,Indeed,https://Indeed.com/Research Scientist,68470.0,148198.0,90961.0,YEAR,USD
United States,Research Scientist,Payscale,https://Payscale.com/Research Scientist,68870.0,148498.0,91161.0,YEAR,USD
United States,Data Scientist (m/w/d),Glassdoor,https://Glassdoor.com/Data Scientist (m/w/d),102541.0,171976.0,128977.0,YEAR,USD
United States,Data Scientist (m/w/d),Indeed,https://Indeed.com/Data Scientist (m/w/d),102941.0,172276.0,129177.0,YEAR,USD
United States,Data Scientist (m/w/d),Payscale,https://Payscale.com/Data Scientist (m/w/d),103341.0,172576.0,129377.0,YEAR,USD
United States,Lead Data Scientist,Glassdoor,https://Glassdoor.com/Lead Data Scientist,141852.0,191793.0,165000.0,YEAR,USD
United States,Lead Data Scientist,Indeed,https://Indeed.com/Lead Data Scientist,142252.0,192093.0,165200.0,YEAR,USD
United States,Lead Data Scientist,Payscale,https://Payscale.com/Lead Data Scientist,142652.0,192393.0,165400.0,YEAR,USD
United States,Application Engineer,Glassdoor,https://Glassdoor.com/Application Engineer,79838.0,144727.0,105073.0,YEAR,USD
United States,Application Engineer,Indeed,https://Indeed.com/Application Engineer,80238.0,145027.0,105273.0,YEAR,USD
United States,Application Engineer,Payscale,https://Payscale.com/Application Engineer,80638.0,145327.0,105473.0,YEAR,USD
United States,Engineer,Glassdoor,https://Glassdoor.com/Engineer,89420.0,150000.0,105082.0,YEAR,USD
United States,Engineer,Indeed,https://Indeed.com/Engineer,89820.0,150300.0,105282.0,YEAR,USD
